Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
0,18749.1654081301,27599.13769939971,18749.1654081301,27394.99920188444,18753.874689249707,27803.276196914994
1,18748.810596701,27039.383434751173,18748.810596701,27430.611710633155,18750.630786520047,26648.15515886919
2,18598.919345278642,26309.98180832401,18748.810596701,26199.176388896405,18598.919345278642,26420.78722775162
3,18030.713909421098,26392.311327855365,18748.810596701,26518.286212203875,18030.713909421098,26266.336443506858
4,18030.713909421098,26310.068615626264,18748.810596701,26375.12486052925,18030.713909421098,26245.012370723285
5,18030.713909421098,26373.11388721106,18748.810596701,25992.3632473629,18030.713909421098,26753.86452705922
6,18030.713909421098,26402.4713830477,18748.810596701,26090.270238497444,18030.713909421098,26714.672527597966
7,18030.713909421098,26319.46136612759,18748.463954444316,26428.252250824735,18030.713909421098,26210.67048143045
8,17681.94582427116,26841.211299153492,18201.72491786793,27293.90770631856,17681.94582427116,26388.51489198842
9,17681.94582427116,26455.721812065443,18201.72491786793,26989.539532771767,17681.94582427116,25921.904091359127
10,17681.94582427116,26631.67657580902,18201.72491786793,26739.171023423514,17681.94582427116,26524.182128194523
11,17662.179273414094,26356.312896184063,17905.475395747326,26685.575124263774,17662.179273414094,26027.050668104355
12,17662.179273414094,26220.266498323046,17905.475395747326,26386.79595293528,17662.179273414094,26053.737043710822
13,17662.179273414094,26523.841504491887,17905.475395747326,26818.32598079053,17662.179273414094,26229.35702819324
14,15290.00505801678,26085.00614093803,15290.00505801678,26517.533689508902,17661.375358132445,25652.478592367148
15,15290.00505801678,26354.282441961746,15290.00505801678,26804.43641164428,17661.375358132445,25904.128472279208
16,15290.00505801678,26405.9298753053,15290.00505801678,26664.928390067464,17661.375358132445,26146.931360543138
17,15290.00505801678,26641.835181803726,15290.00505801678,27075.809712018414,17655.812101107196,26207.860651589035
18,15290.00505801678,26629.19183874682,15290.00505801678,26675.956873925756,17655.812101107196,26582.426803567883
19,15290.00505801678,26397.698054139895,15290.00505801678,26836.48964647211,17655.812101107196,25958.90646180767
20,15290.00505801678,26288.22611328062,15290.00505801678,26747.306361322757,17655.812101107196,25829.145865238486
21,15290.00505801678,26518.817340839058,15290.00505801678,26743.263030085785,17655.812101107196,26294.371651592337
22,15290.00505801678,26711.947949558617,15290.00505801678,26667.56224105344,17642.883259423863,26756.333658063784
23,15290.00505801678,26651.40130904447,15290.00505801678,26776.209180172835,17417.899944056902,26526.59343791612
24,15290.00505801678,26851.20411409503,15290.00505801678,26375.135308294542,17417.899944056902,27327.272919895528
25,15290.00505801678,26477.469544986827,15290.00505801678,25957.660436662944,17417.899944056902,26997.278653310714
26,15290.00505801678,26535.715526127555,15290.00505801678,26621.449381462244,17417.899944056902,26449.981670792866
27,15290.00505801678,26233.44187156723,15290.00505801678,26249.195849802018,17417.899944056902,26217.68789333243
28,15290.00505801678,26501.41514511453,15290.00505801678,26305.054614499582,17417.899944056902,26697.775675729466
29,15290.00505801678,26619.527472647304,15290.00505801678,26069.81159109943,17417.899944056902,27169.243354195183
30,15046.913218925069,26289.54744628257,15046.913218925069,26056.926459287155,17365.277245660902,26522.168433278
31,15044.484685324513,26312.183680369173,15044.484685324513,26122.313206576015,17365.277245660902,26502.054154162342
32,15044.484685324513,26229.794628825523,15044.484685324513,26038.039423724087,17365.277245660902,26421.549833926954
33,15044.484685324513,26212.25370167887,15044.484685324513,26433.603554808098,17365.277245660902,25990.90384854964
34,15044.484685324513,25964.84412445943,15044.484685324513,25742.861382510968,17365.277245660902,26186.82686640789
35,15044.484685324513,26655.320629301816,15044.484685324513,26274.34462436456,17365.277245660902,27036.296634239065
36,15044.484685324513,26421.474364282287,15044.484685324513,26089.958657041934,17365.277245660902,26752.990071522643
37,15044.484685324513,26121.02547446208,15044.484685324513,26037.17369443514,17365.277245660902,26204.877254489016
38,15044.484685324513,25982.490606063722,15044.484685324513,25841.627681499165,17365.277245660902,26123.353530628276
39,15044.484685324513,25736.968595754737,15044.484685324513,25255.53371644333,17365.277245660902,26218.403475066138
40,15044.484685324513,26629.442485150554,15044.484685324513,26251.713033519176,17365.277245660902,27007.171936781924
41,15044.484685324513,26149.11002767466,15044.484685324513,25536.102629422214,17365.277245660902,26762.11742592711
42,15044.484685324513,25832.285031357136,15044.484685324513,25443.82922775941,17365.277245660902,26220.74083495487
43,15044.484685324513,25932.833145475917,15044.484685324513,25441.011715626355,17365.277245660902,26424.654575325487
44,15044.484685324513,25733.003192600245,15044.484685324513,24907.5039719499,17365.277245660902,26558.50241325058
45,15044.484685324513,26298.889852432872,15044.484685324513,25947.05203791458,17365.277245660902,26650.727666951156
46,15044.484685324513,25975.530966843107,15044.484685324513,25293.256002322076,16058.098682529146,26657.805931364135
47,15040.70891228422,26281.45800069761,15040.70891228422,25381.651884273728,15619.119678623616,27181.264117121482
48,15040.70891228422,26295.436830156737,15040.70891228422,25468.61249051381,15305.144262961172,27122.261169799673
49,15040.70891228422,26025.064066640018,15040.70891228422,24707.014315481694,15305.144262961172,27343.113817798345
50,15040.70891228422,25753.97964296325,15040.70891228422,24697.072558429725,15305.144262961172,26810.88672749677
51,15040.70891228422,25813.473759758508,15040.70891228422,24819.535652349074,15305.144262961172,26807.411867167953
52,15040.70891228422,25808.813065268732,15040.70891228422,24610.81501228943,15305.144262961172,27006.81111824804
53,15040.70891228422,25532.648520797164,15040.70891228422,24464.662229616693,15297.23606451091,26600.63481197764
54,15040.70891228422,25961.424581987198,15040.70891228422,24721.164410192603,15297.23606451091,27201.68475378179
55,15040.70891228422,25575.76093261265,15040.70891228422,24168.565313759293,15297.23606451091,26982.956551466006
56,15040.70891228422,25456.411144268463,15040.70891228422,24216.670193372367,15297.23606451091,26696.15209516455
57,15040.70891228422,25655.58585152372,15040.70891228422,24342.052185418215,15297.23606451091,26969.11951762923
58,15040.70891228422,25506.339776220768,15040.70891228422,24105.202994608637,15297.23606451091,26907.4765578329
59,15040.33929200362,25451.939999037677,15040.33929200362,23965.673847632497,15297.23606451091,26938.206150442857
60,15040.33929200362,25650.857872659013,15040.33929200362,24335.348569985417,15290.258793147097,26966.3671753326
61,15040.33929200362,25272.175061321075,15040.33929200362,23806.567698176983,15290.258793147097,26737.782424465186
62,15040.33929200362,25003.769601784144,15040.33929200362,23463.32733446527,15290.258793147097,26544.211869103023
63,15040.33929200362,25254.408409682073,15040.33929200362,23935.976566812533,15289.12458474677,26572.840252551614
64,15040.33929200362,25220.923800233406,15040.33929200362,23429.545225489754,15289.12458474677,27012.302374977065
65,15040.33929200362,24765.03283825812,15040.33929200362,22945.53241971082,15289.12458474677,26584.533256805415
66,15040.33929200362,25065.035561394077,15040.33929200362,23245.08449030302,15289.12458474677,26884.986632485125
67,15040.33929200362,25241.388486125394,15040.33929200362,23662.46634775899,15289.12458474677,26820.310624491805
68,15040.33929200362,24872.415031084165,15040.33929200362,23148.78614161035,15289.12458474677,26596.043920557982
69,15040.33929200362,25177.753497043446,15040.33929200362,23700.60245825743,15289.12458474677,26654.904535829475
70,15040.33929200362,24833.606766577264,15040.33929200362,22764.07210196951,15289.12458474677,26903.141431185017
71,15040.33929200362,24621.211280246167,15040.33929200362,22777.371026872555,15289.12458474677,26465.051533619786
72,15040.33929200362,24846.946840131102,15040.33929200362,23115.68635549266,15289.12458474677,26578.207324769544
73,15040.33929200362,24621.278787530624,15040.33929200362,22839.25664260014,15289.12458474677,26403.30093246111
74,15040.33929200362,24912.55171623986,15040.33929200362,23368.93174085769,15289.12458474677,26456.171691622036
75,15040.33929200362,24741.31169922663,15040.33929200362,22930.68688450589,15286.062663923025,26551.936513947367
76,15040.33929200362,24135.249345708675,15040.33929200362,22162.10938013826,15052.425391766854,26108.389311279087
77,15040.33929200362,24634.090091643575,15040.33929200362,22491.235598124815,15052.425391766854,26776.944585162346
78,15040.33929200362,24245.623738503942,15040.33929200362,22164.02794076005,15052.425391766854,26327.219536247823
79,15040.33929200362,23996.78015580423,15040.33929200362,22229.697596498765,15052.425391766854,25763.8627151097
80,15040.33929200362,24151.957300130445,15040.33929200362,22119.675496576714,15042.22458241367,26184.239103684184
81,15040.33929200362,24083.56028170782,15040.33929200362,21928.336879492534,15042.22458241367,26238.783683923106
82,15040.33929200362,24144.866538478815,15040.33929200362,22241.531875106753,15042.22458241367,26048.201201850876
83,15040.33929200362,23911.833708537364,15040.33929200362,22035.43281475055,15042.22458241367,25788.23460232418
84,15040.33929200362,23908.99877353946,15040.33929200362,22179.56268256363,15042.22458241367,25638.434864515286
85,15040.18139030952,23556.76701116226,15040.18139030952,21689.095091091458,15042.22458241367,25424.43893123307
86,15040.18139030952,23590.88110777919,15040.18139030952,21622.99499740442,15042.22458241367,25558.76721815397
87,15040.18139030952,23698.78661434309,15040.18139030952,21809.962674777576,15042.22458241367,25587.61055390859
88,15040.18139030952,23397.105060613914,15040.18139030952,22433.399606529805,15042.001457439217,24360.810514698034
89,15040.18139030952,23556.38122768417,15040.18139030952,21575.0548055626,15042.001457439217,25537.70764980575
90,15040.18139030952,23488.06067654081,15040.18139030952,21513.359017243674,15042.001457439217,25462.762335837935
91,15040.18139030952,23293.297814146765,15040.18139030952,21619.088152193366,15040.877131643225,24967.507476100163
92,15040.18139030952,23225.613587797598,15040.18139030952,20968.461960003566,15040.877131643225,25482.765215591633
93,15040.18139030952,23280.593761824137,15040.18139030952,21603.29711696116,15040.877131643225,24957.89040668711
94,15039.06454995595,22896.597731094556,15040.18139030952,21202.59498369883,15039.06454995595,24590.600478490294
95,15039.06454995595,23075.980187609493,15040.18139030952,21315.709759973557,15039.06454995595,24836.25061524543
96,15039.06454995595,23318.078885306393,15040.18139030952,21578.121694744495,15039.06454995595,25058.0360758683
97,15039.06454995595,23168.432236274824,15040.18139030952,21488.350972144686,15039.06454995595,24848.51350040496
98,15039.06454995595,22713.812796493654,15040.124044845166,21039.297381022036,15039.06454995595,24388.32821196527
99,15039.06454995595,23104.732774297372,15040.124044845166,21113.396935826015,15039.06454995595,25096.06861276873
100,15039.06454995595,22706.58042366636,15040.10334724104,20672.713643402403,15039.06454995595,24740.44720393033
101,15039.06454995595,22794.5683817792,15040.10334724104,20691.13880122214,15039.06454995595,24897.997962336267
102,15039.06454995595,22742.770021513403,15040.10334724104,20595.018315019508,15039.06454995595,24890.521728007294
103,15039.06454995595,22757.489493322995,15040.10334724104,21026.97096282579,15039.06454995595,24488.008023820188
104,15039.06454995595,22477.080266106885,15040.10334724104,20762.371142737848,15039.06454995595,24191.789389475915
105,15039.06454995595,22321.59604654079,15040.10334724104,20473.61721469268,15039.06454995595,24169.574878388914
106,15039.06454995595,22241.22516169321,15040.10334724104,20401.893411568017,15039.06454995595,24080.556911818407
107,15039.06454995595,22481.895985135565,15040.10334724104,20527.76498641164,15039.06454995595,24436.026983859487
108,15039.06454995595,22700.273997910503,15040.10334724104,20908.231489463447,15039.06454995595,24492.316506357558
109,15039.06454995595,22106.1400389326,15040.10334724104,20094.519598735653,15039.06454995595,24117.760479129553
110,15039.06454995595,22108.094432155063,15040.10334724104,20514.386798756073,15039.06454995595,23701.802065554053
111,15039.06454995595,21842.294823213982,15040.10334724104,20690.366830230545,15039.06454995595,22994.22281619743
112,15039.06454995595,22123.399556149543,15040.013782654984,20144.381802233707,15039.06454995595,24102.417310065375
113,15039.06454995595,22273.88052394378,15040.013782654984,20589.198197059934,15039.06454995595,23958.562850827628
114,15039.06454995595,22115.900081123968,15040.013782654984,20384.837173600496,15039.06454995595,23846.962988647432
115,15039.06454995595,21910.196390959503,15040.013782654984,20073.77528871449,15039.06454995595,23746.617493204525
